
=== Результаты экспериментов CUDA ===
Размер	Конфигурация	Время(сек)	Объем задачи	Ускорение	Эффективность(%)
200	16x16	0.000	16000000	63.22	24.7
200	32x32	0.000	16000000	47.87	4.7
200	16x32	0.000	16000000	62.86	12.3
200	32x16	0.000	16000000	54.83	10.7
400	16x16	0.001	128000000	79.35	31.0
400	32x32	0.001	128000000	69.94	6.8
400	16x32	0.001	128000000	79.42	15.5
400	32x16	0.001	128000000	75.77	14.8
800	16x16	0.006	1024000000	106.15	41.5
800	32x32	0.006	1024000000	106.14	10.4
800	16x32	0.006	1024000000	106.33	20.8
800	32x16	0.006	1024000000	110.47	21.6
1200	16x16	0.021	3456000000	165.44	64.6
1200	32x32	0.021	3456000000	163.18	15.9
1200	16x32	0.016	3456000000	214.59	41.9
1200	32x16	0.016	3456000000	223.30	43.6
1600	16x16	0.050	8192000000	155.18	60.6
1600	32x32	0.036	8192000000	213.13	20.8
1600	16x32	0.037	8192000000	210.38	41.1
1600	32x16	0.037	8192000000	206.94	40.4
2000	16x16	0.086	16000000000	324.34	126.7
2000	32x32	0.071	16000000000	391.15	38.2
2000	16x32	0.073	16000000000	379.17	74.1
2000	32x16	0.077	16000000000	360.52	70.4

=== Результаты экспериментов CUDA ===
Размер	Конфигурация	Время(сек)	Объем задачи	Ускорение	Эффективность(%)
200	16x16	0.000	16000000	63.31	24.7
200	32x32	0.000	16000000	48.23	4.7
200	16x32	0.000	16000000	63.31	12.4
200	32x16	0.000	16000000	60.32	11.8
400	16x16	0.001	128000000	78.80	30.8
400	32x32	0.001	128000000	69.51	6.8
400	16x32	0.001	128000000	78.97	15.4
400	32x16	0.001	128000000	75.37	14.7
800	16x16	0.006	1024000000	98.18	38.4
800	32x32	0.006	1024000000	98.19	9.6
800	16x32	0.006	1024000000	98.36	19.2
800	32x16	0.006	1024000000	98.11	19.2
1200	16x16	0.021	3456000000	142.22	55.6
1200	32x32	0.021	3456000000	140.28	13.7
1200	16x32	0.021	3456000000	142.54	27.8
1200	32x16	0.016	3456000000	187.76	36.7
1600	16x16	0.050	8192000000	205.71	80.4
1600	32x32	0.036	8192000000	285.47	27.9
1600	16x32	0.037	8192000000	279.19	54.5
1600	32x16	0.037	8192000000	273.44	53.4
2000	16x16	0.086	16000000000	308.64	120.6
2000	32x32	0.071	16000000000	373.94	36.5
2000	16x32	0.073	16000000000	360.84	70.5
2000	32x16	0.077	16000000000	342.08	66.8

=== Результаты экспериментов CUDA ===
Размер	Конфигурация	Время(сек)	Объем задачи	Ускорение	Эффективность(%)
200	16x16	0.000	16000000	64.84	25.3
200	32x32	0.000	16000000	49.14	4.8
200	16x32	0.000	16000000	64.47	12.6
200	32x16	0.000	16000000	61.60	12.0
400	16x16	0.001	128000000	87.38	34.1
400	32x32	0.001	128000000	77.02	7.5
400	16x32	0.001	128000000	87.52	17.1
400	32x16	0.001	128000000	83.57	16.3
800	16x16	0.006	1024000000	137.59	53.7
800	32x32	0.006	1024000000	137.62	13.4
800	16x32	0.006	1024000000	137.81	26.9
800	32x16	0.006	1024000000	137.47	26.8
1200	16x16	0.021	3456000000	128.14	50.1
1200	32x32	0.021	3456000000	126.33	12.3
1200	16x32	0.020	3456000000	134.06	26.2
1200	32x16	0.016	3456000000	172.30	33.7
1600	16x16	0.053	8192000000	146.04	57.0
1600	32x32	0.036	8192000000	213.03	20.8
1600	16x32	0.037	8192000000	208.85	40.8
1600	32x16	0.038	8192000000	204.75	40.0
2000	16x16	0.085	16000000000	287.87	112.4
2000	32x32	0.071	16000000000	345.45	33.7
2000	16x32	0.074	16000000000	333.48	65.1
2000	32x16	0.078	16000000000	313.92	61.3
